========================================================================================
GondarII              	       DeviceKey
========================================================================================

========================================================================================		  
				   Change History
========================================================================================
v01.00.00     			Date: <08/06/2010>	    	Remarks: <ALL>
========================================================================================



###### Setup Codes For Audio - Amplifier (A) ######

Astra                                   0713
Astratec                                1743, 1929
Astro                                   0173, 0658, 1099, 1100, 1816, 2026, 2627
Atlanta                                 2418
Atsat                                   1300
AtSky                                   1334
Audiola                                 2418
Audioline                               1672
Aurora                                  0879
Austar                                  0879
Avalon                                  0396
Awa                                     1659
Axil                                    1659, 1777, 1993, 2139, 2418
Axitronic                               1626
B.net                                   1672
B@ytronic                               0740
Bell ExpressVu                          0775
Belson                                  2139, 2418
Best Buy                                1993, 2139
Big Sat                                 1572
BIG TV                                  2463
Black Diamond                           1284
Blaupunkt                               0173
Blue Sky                                0713
Boca                                    0713, 1366, 2026, 2308
Boshmann                                1631
Boxer                                   1692, 1957
Brainwave                               0658, 1672
British Sky Broadcasting                0847, 1175, 1662
Broco                                   0713
BskyB                                   0847, 1175, 1662
Bubu Sat                                0713
Bush                                    1284, 1291, 1626, 1645, 1672, 1743, 1935, 1993, 
                                        2167, 2376
Canal Digitaal                          2466
Canal Digital                           0853, 1004, 1334, 1780, 2553
Canal Satellite                         0853, 2107, 2657
Canal+                                  0853, 2107, 2657
CanalSat                                0853, 2107, 2657
CDV                                     1993
Century                                 0856
CGV                                     2034
Chess                                   0114, 0713, 1334, 1626, 2026
CityCom                                 0658, 1176
Clarity                                 2296
Classic                                 1672
Clayton                                 1626
Clemens Kamphus                         0396
CMX                                     2205
CNS                                     1367
Cobra                                   0396
Com Hem                                 1176, 1915, 2357
Comag                                   1366, 2026, 2308
Comwell                                 1956
Conia                                   2167
Connexions                              0396
Coship                                  1672, 2525
Crown                                   1284
CS                                      1631
Cyfra+                                  1076, 1409, 2593
Cyfrowy Polsat                          0253, 0853, 2262, 2527
Cyrus                                   0200
D-box                                   0723, 1114
Daeryung                                0396
Daewoo                                  0713, 1743
DAK                                     1993
Dantax                                  1626
Denver                                  2418
Dgtec                                   1631, 2418
Dick Smith Electronics                  2418
Digi                                    2026
Digi Raum Electronics                   1176, 2622
Digiality                               1334
Digifusion                              1645, 1743, 1929
Digihome                                1284, 1935, 2034
DigiLogic                               1284, 1993
DigiQuest                               1300, 1631
Digital                                 2308
Digital Vision                          1929
DigitalBox                              1100, 1631
Digitel+                                1659
Digittrade                              1659
Digiturk                                1076, 2097
Digiwave                                1631
Dilog                                   1780, 1957
DiPro                                   1367
DirecTV                                 1377, 0392, 0566, 0639, 1639, 1142, 0247, 0749, 
                                        1749, 1856, 1076, 0099, 1414, 1442, 1609
Dish Network                            0775, 1775
Dishpro                                 0775, 1775
DishTV                                  1300, 1780
Distratel                               1704
DNT                                     0200, 0396
Doro                                    1672
DRE                                     1176, 2622
Dream Multimedia                        1237, 1652, 1923
DSE                                     2418
DSTV                                    0879
Dual                                    2034
Durabrand                               1284, 2034, 2241
DVX                                     1993, 2167
Echolink                                1366, 1572
Echostar                                0775, 0396, 0713, 0853, 1323, 1409, 1775, 2262, 
                                        2527
Edision                                 1631, 2306
Einhell                                 0713
Elap                                    0713
Elbe                                    2418
Electron                                1956
Elisa                                   1322
Elless                                  0740
Elsat                                   0713
Elta                                    0200, 1659
Emtec                                   1659
Energy Sistem                           1631, 2418
Engel                                   0713, 1801, 1993
Europhon                                0713
Eurosky                                 0114, 0740
Eutelsat                                0713
Eutra                                   0740
Evesham                                 2034
Expressvu                               0775, 1775
Fagor                                   1611
Fenner                                  0713
Ferguson                                1291, 1743, 1929
Finepass                                1780
Finlux                                  1626
FinnSat                                 0740
Flair Mate                              0713
FMD                                     0114
Foxtel                                  0879, 1176
FPE                                     1993
Freesat+                                2443
FTEmaximal                              0713
Fuba                                    0173, 0396, 1801
Funai                                   2167
Galaxis                                 0853, 0879
Galaxy                                  1956
GE                                      0566
General Instrument                      0869
General Satellite                       1176, 2622
Globo                                   0740, 1334, 1429, 1626, 2026
GOD Digital                             0200
GOI                                     0775, 1775
Gold Box                                0853
Gold Vision                             1631
Golden Channel                          1572
Golden Interstar                        1572
GoldMaster                              1334
Goodmans                                1284, 1291, 2034, 2376
Gradiente                               0856, 0099, 0887
Gran Prix                               0740
Grandin                                 1626
Grocos                                  1409
Grundig                                 0173, 0847, 0853, 0879, 1284, 1291, 1659, 1672, 
                                        1780, 2034, 2367, 2376
Haier                                   2418
Hallo                                   1626
Handan                                  1780, 1957
Hanseatic                               1099, 1100
Hauppauge                               1672
HB                                      1801
Hirschmann                              0173, 0396, 0740, 2026
Hitachi                                 1284, 2034
Homecast                                1736, 2525
Hornet                                  1300
Houston                                 0396
HTS                                     0775, 1775
Hughes Network Systems                  1142, 0749, 1749, 1442
Humax                                   1377, 1176, 1427, 1675, 1743, 1808, 1915, 2144, 
                                        2357, 2408, 2443, 2616
Hyundai                                 2463
i-Box                                   1652
i-CAN                                   1367, 2367
ID Digital                              1176
ID Sat                                  1334
ILLUSION sat                            1631
Imperial                                1100, 1195, 1197, 1334, 1429, 1672
Indovision                              0856, 0887
iNETBOX                                 1652
Ingelen                                 0114, 0396
Inno Hit                                1626
Innova                                  0099
Inves                                   1743, 1993
inVion                                  2418
ISkyB                                   0887
ITT                                     2418
ITT Nokia                               0723
Jaeger                                  1334
Jerrold                                 0869
JVC                                     0775, 1775
K-SAT                                   0713
KabelBW                                 1195, 1197, 1915
Kamm                                    0713
Kaon                                    1300
Kathrein                                0114, 0173, 0200, 0658, 0713, 1561, 2263, 2569
Kenwood                                 0853
Kiton                                   0114
Koenig                                  1631
Koscom                                  1956
Kreiling                                0114, 0658, 1626
Kreiselmeyer                            0173
L&S Electronic                          1334
LA Digital                              1743
LaSAT                                   0173, 0740
Lava                                    1631
Leiko                                   1626
Lemon                                   1334
Lenco                                   0713
Lenoxx                                  1611
LG                                      1414
Lifesat                                 0713
Linsar                                  1284
Listo                                   1626
Lodos                                   1284
Logik                                   1284
Luxor                                   1935
Manata                                  0713
Manhattan                               1300
Maplin                                  2034
Marantz                                 0200
Maspro                                  0173, 0713
Matsui                                  0173, 1284, 1626, 1743, 1929
Maximum                                 1334
Mediabox                                0853
Mediacom                                1206
MediaSat                                0853, 2107
Mediastar                               1572
Medion                                  0713, 0740, 1334, 1626, 2026
Medison                                 0713
Mega                                    0200
Meo                                     2466
Metronic                                0713, 1334, 1659, 1704, 2167, 2269
Metz                                    0173
MiCO                                    1993
Micro                                   0713
Micro Elektronic                        0713
Micro Technology                        0713
Microtec                                0713
Mitsubishi                              0749
Morgan's                                0200, 0713, 2026
Motorola                                0869, 0856
Movistar                                2262, 2263, 2527
Multichoice                             0879, 1959, 1960, 2059, 2060
Mustek                                  1659
Mx Onda                                 1659
Myryad                                  0200
Mysat                                   0713
MySky                                   1693, 1848
Neom                                    1993
NEOTION                                 1334
Net Brazil                              2262
Netgem                                  1322
Netsat                                  0099, 0887
Neuf TV                                 1322
Neuhaus                                 0713
Neusat                                  0713
Nevir                                   1659
Newton                                  0396
Next Level                              0869
Nextvision                              1956
NextWave                                1956
Nikkai                                  1993
Nikko                                   0200, 0713, 0723
Noda Electronic                         1704
Nokia                                   0723, 0853, 1023
Nordmende                               1611
Nova                                    1959
Numericable                             2466
Omni                                    1993
Onn                                     1284, 2034, 2241
Openbox                                 1956
Opensat                                 1956
Optex                                   0114, 0713, 1611, 1626
Optus                                   0879
Orbis                                   1334
Orbit                                   0208
Orbitech                                0114, 1099, 1100, 1195, 1197
Pace                                    2657, 2593, 2466, 2211, 2097, 2060, 2059, 1848, 
                                        1693, 1682, 1662, 1323, 1175, 0887, 0853, 0847, 
                                        0200
Pacific                                 1284
Palcom                                  1409
Palladium                               0396
Panasat                                 0879
Panasonic                               0247, 0701, 0847, 1304
Panda                                   0173
peeKTon                                 1659, 1993, 2418
Philips                                 1142, 0749, 1749, 0856, 1076, 0099, 0853, 0208, 
                                        0887, 0200, 1114, 0173, 1442, 1499, 1672, 1743, 
                                        2107, 2176, 2211, 2466, 2593
Phoenix                                 1956, 2418
Phonotrend                              1780
Pino                                    1334
Pioneer                                 0853
Planet                                  0396
